date,date_number,country,state,fips,total_confirmed,total_deaths,total_recovered,total_hospitalized,total_tested,active,tests_rate,hospitalize_rate,mortality_rate,incident_rate
2020-04-13,1,US,Rhode Island,44.0,2665,63,135.0,331.0,20661.0,2602.0,1950.3266591841686,12.420262664165106,2.363977485928705,251.56674636880157
2020-04-13,1,US,South Carolina,45.0,3391,82,,496.0,31425.0,3309.0,623.514997594234,14.626953700973164,2.4181657328221764,67.2820797722211
2020-04-13,1,US,South Dakota,46.0,868,6,207.0,44.0,9002.0,862.0,1223.2773287384562,5.0691244239631335,0.6912442396313364,117.95209079593201
2020-04-13,1,US,Tennessee,47.0,5610,109,1671.0,579.0,76195.0,5501.0,1160.6370761968635,10.320855614973262,1.9429590017825311,85.45408488043054
2020-04-13,1,US,Texas,48.0,14275,305,2269.0,1176.0,133226.0,13970.0,579.6325629190828,8.238178633975481,2.136602451838879,62.106907327923295
2020-04-13,1,US,Utah,49.0,2363,13,218.0,201.0,45787.0,2350.0,1597.6582427329529,8.506136267456624,0.5501481168006771,82.45280161569806
2020-04-13,1,US,Vermont,50.0,748,28,15.0,33.0,10366.0,720.0,1697.699442016014,4.411764705882354,3.7433155080213902,122.50426226393772
2020-04-13,1,US,Virgin Islands,78.0,51,1,43.0,,373.0,50.0,347.7271879777754,,1.96078431372549,47.5444680613044
2020-04-13,1,US,Virginia,51.0,5747,149,,1238.0,41401.0,5598.0,523.5841122618161,21.541673916826173,2.592657038454846,72.68031915095425
2020-04-13,1,US,Washington,53.0,10635,513,,527.0,93802.0,10122.0,1242.5088447391138,4.955336154207805,4.823695345557122,140.8720663077597
2020-04-13,1,US,West Virginia,54.0,611,8,85.0,164.0,16655.0,603.0,1258.8832333835726,26.84124386252045,1.3093289689034369,46.18298742704071
2020-04-13,1,US,Wisconsin,55.0,3428,154,,993.0,40197.0,3274.0,776.8180202764635,28.96732788798133,4.492415402567095,66.24703767713304
2020-04-13,1,US,Wyoming,56.0,275,1,138.0,41.0,5964.0,274.0,1199.4208028316307,14.909090909090908,0.3636363636363637,55.30528517416137
2020-04-13,1,US,Recovered,,0,0,43482.0,,,-43482.0,,,,
2020-04-14,2,US,Alabama,1.0,3953,114,,493.0,33117.0,3839.0,706.2855081,12.4715406,2.8838856560000004,84.30554137
2020-04-14,2,US,Alaska,2.0,285,9,98.0,32.0,8348.0,276.0,1396.572809,11.22807018,3.157894737,47.67887525
2020-04-14,2,US,American Samoa,60.0,0,0,,,3.0,,5.391707554,,,0.0
2020-04-14,2,US,Arizona,4.0,3809,131,249.0,580.0,44096.0,3678.0,605.8210534,15.22709373,3.439222893,52.33065113
2020-04-14,2,US,Arkansas,5.0,1498,32,427.0,130.0,21131.0,1466.0,816.1753431,8.67823765,2.136181575,57.85957427
2020-04-14,2,US,California,6.0,25356,767,,5163.0,202208.0,24589.0,515.7233282,20.36204449,3.0288689069999997,64.66945279
2020-04-14,2,US,Colorado,8.0,7950,327,,1493.0,38742.0,7623.0,683.6646982999999,18.7798742,4.11320755,140.290495
2020-04-14,2,US,Connecticut,9.0,13989,671,,1779.0,45841.0,13318.0,1285.759043,12.71713489,4.79662592,392.3667295
2020-04-14,2,US,Delaware,10.0,1926,43,277.0,204.0,12304.0,1883.0,1263.550511,10.59190031,2.232606438,197.7891974
2020-04-14,2,US,Diamond Princess,88888.0,49,0,0.0,,,49.0,,,0.0,
2020-04-14,2,US,District of Columbia,11.0,2058,67,518.0,295.0,11518.0,1991.0,1632.024983,14.33430515,3.2555879489999997,291.60508910000004
2020-04-14,2,US,Florida,12.0,21628,571,,3060.0,203180.0,21057.0,956.9244585000001,14.14832624,2.640096172,101.8622019
2020-04-14,2,US,Georgia,13.0,14578,525,,2769.0,61795.0,14053.0,609.4546291,18.99437509,3.6013170530000003,143.77586509999998
2020-04-14,2,US,Grand Princess,99999.0,103,0,0.0,,,103.0,,,0.0,
